policy_id,product_type,region,sum_insured,annual_premium,start_date,end_date,earned_premium,status
POL-00001,Property,Central,8670187.16,2900.33,2022-11-17,2023-11-17,2550.7,Lapsed
POL-00002,Motor,South,1180341.56,2202.57,2022-08-13,2023-08-13,1357.75,Lapsed
POL-00003,Liability,West,3722152.17,1513.22,2022-09-14,2023-09-14,1065.47,Active
POL-00004,Property,North,11974688.54,433.91,2023-03-21,2024-03-20,340.0,Active
POL-00005,Motor,East,1153864.59,3031.26,2022-07-16,2023-07-16,1636.05,Active
POL-00006,Liability,East,4746287.21,1783.25,2022-08-26,2023-08-26,1162.78,Active
POL-00007,Property,East,5780713.43,4723.84,2023-04-18,2024-04-17,3339.04,Lapsed
POL-00008,Property,North,14607508.15,1654.48,2022-07-22,2023-07-22,920.16,Lapsed
POL-00009,Motor,Central,700658.28,2164.69,2023-05-30,2024-05-29,1281.02,Active
POL-00010,Motor,North,227571.1,1115.24,2023-03-18,2024-03-17,883.03,Active
POL-00011,Motor,West,1314636.91,461.6,2023-06-13,2024-06-12,255.46,Active
POL-00012,Liability,Central,1514646.35,1343.32,2022-01-07,2023-01-07,25.76,Lapsed
POL-00013,Property,North,11948832.87,1090.94,2022-04-27,2023-04-27,349.7,Active
POL-00014,Property,East,16841721.07,1417.32,2022-12-23,2023-12-23,1386.26,Active
POL-00015,Motor,East,753565.63,2169.61,2022-02-05,2023-02-05,213.99,Active
POL-00016,Motor,Central,843349.57,1495.78,2022-09-03,2023-09-03,1008.12,Active
POL-00017,Motor,Central,690642.16,1486.52,2022-11-13,2023-11-13,1291.03,Active
POL-00018,Motor,South,1477775.85,2045.86,2023-03-24,2024-03-23,1586.24,Lapsed
POL-00019,Property,Central,7461311.0,897.7,2023-06-02,2024-06-01,523.86,Active
POL-00020,Property,South,4030265.09,583.29,2023-01-03,2024-01-03,580.09,Active
POL-00021,Property,South,6915645.93,1113.47,2023-03-16,2024-03-15,887.73,Active
POL-00022,Motor,East,703333.65,1568.04,2023-02-15,2024-02-15,1374.72,Active
POL-00023,Liability,West,521755.58,1390.05,2022-12-10,2023-12-10,1310.08,Active
POL-00024,Liability,North,841085.64,1236.73,2023-05-21,2024-05-20,762.37,Active
POL-00025,Property,West,14890638.17,6024.09,2022-10-08,2023-10-08,4637.73,Active
POL-00026,Motor,North,1132866.82,1306.56,2022-02-09,2023-02-09,143.19,Active
POL-00027,Motor,South,1051927.28,1722.22,2022-12-10,2023-12-10,1623.14,Active
POL-00028,Motor,Central,567788.45,3500.7,2023-01-16,2024-01-16,3356.84,Lapsed
POL-00029,Motor,West,434950.98,830.86,2022-03-16,2023-03-16,170.72,Cancelled
POL-00030,Property,East,10903873.97,1594.48,2022-09-26,2023-09-26,1175.11,Active
POL-00031,Property,West,8635264.05,2465.18,2023-03-17,2024-03-16,1958.63,Active
POL-00032,Liability,East,554391.48,3823.24,2022-04-17,2023-04-17,1120.79,Active
POL-00033,Motor,North,502958.26,1720.89,2022-12-11,2023-12-11,1626.59,Lapsed
POL-00034,Motor,East,1430410.77,945.48,2022-10-07,2023-10-07,725.3,Active
POL-00035,Motor,Central,322464.09,1580.54,2022-11-21,2023-11-21,1407.33,Lapsed
POL-00036,Motor,South,519046.03,1871.18,2022-10-10,2023-10-10,1450.81,Active
POL-00037,Motor,North,834218.31,1314.68,2023-05-03,2024-05-02,875.25,Active
POL-00038,Motor,West,806601.33,2724.4,2022-12-17,2023-12-17,2619.91,Active
POL-00039,Motor,East,1352176.69,2248.18,2022-02-27,2023-02-27,357.25,Cancelled
POL-00040,Property,South,10452923.35,2566.21,2022-12-24,2023-12-24,2516.99,Lapsed
POL-00041,Motor,East,1232440.81,4081.45,2022-01-17,2023-01-17,190.09,Active
POL-00042,Property,Central,15904540.63,2084.9,2023-05-02,2024-05-01,1393.74,Active
POL-00043,Property,South,1962878.52,968.02,2022-04-17,2023-04-17,283.78,Active
POL-00044,Motor,North,289662.14,1071.08,2022-03-24,2023-03-24,243.56,Active
POL-00045,Property,East,18932122.32,1298.53,2022-09-26,2023-09-26,957.0,Active
POL-00046,Property,East,11095741.58,883.62,2022-10-25,2023-10-25,721.42,Active
POL-00047,Motor,North,534580.39,1197.11,2022-07-18,2023-07-18,652.67,Active
POL-00048,Motor,East,1289091.39,3060.68,2023-04-10,2024-04-09,2230.53,Active
POL-00049,Property,East,14659636.94,1630.85,2022-08-05,2023-08-05,969.57,Cancelled
POL-00050,Motor,West,885720.95,867.37,2022-03-14,2023-03-14,173.47,Active
POL-00051,Motor,South,1240856.27,2461.69,2023-05-01,2024-04-30,1652.37,Active
POL-00052,Motor,South,300596.06,930.82,2023-05-06,2024-05-05,612.05,Active
POL-00053,Property,South,7837563.23,1584.46,2022-05-04,2023-05-04,538.28,Active
POL-00054,Property,Central,5998620.6,2778.32,2023-04-06,2024-04-05,2055.2,Lapsed
POL-00055,Property,West,2304913.92,2760.94,2022-05-02,2023-05-02,922.84,Active
POL-00056,Property,South,8351312.69,607.22,2023-01-02,2024-01-02,605.56,Active
POL-00057,Motor,West,1395683.85,1586.31,2022-11-16,2023-11-16,1390.74,Lapsed
POL-00058,Motor,South,1344037.32,3547.71,2022-05-09,2023-05-09,1253.85,Active
POL-00059,Motor,Central,691502.98,2783.35,2023-03-23,2024-03-22,2165.67,Active
POL-00060,Motor,West,350680.24,918.77,2023-06-09,2024-06-08,518.54,Active
POL-00061,Property,North,6822085.78,3577.0,2022-10-05,2023-10-05,2724.4,Cancelled
POL-00062,Motor,North,1234264.93,2053.85,2022-10-02,2023-10-02,1547.42,Lapsed
POL-00063,Motor,North,298787.64,2994.89,2023-04-13,2024-04-12,2157.96,Lapsed
POL-00064,Property,North,7034323.06,1813.8,2022-08-30,2023-08-30,1202.58,Active
POL-00065,Property,East,2351517.64,2187.83,2022-09-29,2023-09-29,1630.38,Active
POL-00066,Motor,North,1238724.27,1209.52,2022-02-22,2023-02-22,175.63,Active
POL-00067,Motor,West,260375.97,3860.97,2022-01-11,2023-01-11,116.36,Active
POL-00068,Motor,East,1059828.8,2577.71,2022-03-30,2023-03-30,628.54,Active
POL-00069,Motor,North,619821.77,1602.0,2023-05-28,2024-05-27,956.81,Lapsed
POL-00070,Motor,North,1401207.29,718.3,2022-02-11,2023-02-11,82.65,Active
POL-00071,Motor,North,571298.16,995.6,2023-02-27,2024-02-27,840.13,Active
POL-00072,Motor,East,881532.18,3345.11,2022-10-02,2023-10-02,2520.29,Active
POL-00073,Liability,East,834208.69,902.71,2023-02-09,2024-02-09,806.25,Active
POL-00074,Motor,South,1276224.71,1627.11,2022-12-19,2023-12-19,1573.61,Cancelled
POL-00075,Motor,North,1261941.44,893.22,2023-03-12,2024-03-11,721.92,Active
POL-00076,Motor,Central,680384.62,1623.47,2022-03-05,2023-03-05,284.66,Active
POL-00077,Motor,South,250790.93,1783.51,2022-10-11,2023-10-11,1387.72,Active
POL-00078,Property,East,6651635.81,730.28,2022-05-26,2023-05-26,292.11,Active
POL-00079,Motor,South,1249885.73,3056.51,2022-03-13,2023-03-13,602.93,Active
POL-00080,Property,North,1646783.27,957.95,2023-04-14,2024-04-13,687.63,Active
POL-00081,Property,West,13992867.22,747.64,2022-08-28,2023-08-28,491.6,Active
POL-00082,Motor,West,1324992.11,1773.63,2022-03-31,2023-03-31,437.33,Active
POL-00083,Property,North,10372263.37,1080.35,2022-11-20,2023-11-20,959.0,Active
POL-00084,Motor,South,667299.26,1539.72,2023-05-28,2024-05-27,919.61,Active
POL-00085,Motor,East,1104215.4,3170.41,2022-07-25,2023-07-25,1789.33,Active
POL-00086,Motor,South,1094519.92,1120.66,2022-08-20,2023-08-20,712.31,Active
POL-00087,Property,Central,3549733.68,839.71,2022-09-20,2023-09-20,605.05,Active
POL-00088,Motor,East,676583.71,2410.65,2023-01-20,2024-01-20,2285.16,Active
POL-00089,Motor,Central,1274385.1,680.42,2022-08-01,2023-08-01,397.07,Active
POL-00090,Motor,North,1103435.03,3383.23,2022-08-18,2023-08-18,2131.9,Active
POL-00091,Motor,East,1347218.02,1858.86,2022-05-31,2023-05-31,769.01,Active
POL-00092,Property,South,9168597.22,1403.74,2023-03-25,2024-03-24,1084.53,Active
POL-00093,Motor,Central,743486.02,708.87,2022-09-25,2023-09-25,520.48,Active
POL-00094,Motor,East,1126995.25,568.85,2022-08-15,2023-08-15,353.78,Active
POL-00095,Motor,West,1370998.17,892.28,2022-12-20,2023-12-20,865.39,Active
POL-00096,Property,North,12161536.21,1598.98,2022-12-19,2023-12-19,1546.41,Lapsed
POL-00097,Motor,East,853135.2,1513.95,2022-10-19,2023-10-19,1211.16,Active
POL-00098,Motor,East,684209.85,885.7,2022-09-25,2023-09-25,650.32,Lapsed
POL-00099,Motor,South,1386777.23,1269.69,2023-04-01,2024-03-31,956.62,Active
POL-00100,Liability,West,2668663.85,628.84,2022-03-07,2023-03-07,113.71,Active
POL-00101,Liability,East,3317738.11,3205.02,2023-03-30,2024-03-29,2432.3,Active
POL-00102,Property,East,9093760.78,2802.24,2022-12-21,2023-12-21,2725.46,Lapsed
POL-00103,Motor,South,789009.92,1840.69,2023-01-13,2024-01-13,1780.18,Active
POL-00104,Liability,West,1092959.74,1467.7,2023-02-04,2024-02-04,1330.99,Active
POL-00105,Property,North,6632298.79,917.59,2022-08-21,2023-08-21,585.75,Cancelled
POL-00106,Property,East,11911610.4,1822.46,2023-05-21,2024-05-20,1123.43,Cancelled
POL-00107,Motor,Central,847451.56,693.79,2022-01-04,2023-01-04,7.6,Lapsed
POL-00108,Motor,South,965865.83,3445.93,2022-11-12,2023-11-12,2983.33,Active
POL-00109,Motor,Central,647252.68,1993.01,2023-02-18,2024-02-18,1730.92,Active
POL-00110,Liability,Central,3210070.59,2438.99,2022-04-14,2023-04-14,694.95,Active
POL-00111,Motor,South,1190525.65,463.22,2023-01-03,2024-01-03,460.69,Active
POL-00112,Motor,North,908150.29,2109.75,2023-03-17,2024-03-16,1676.24,Active
POL-00113,Motor,West,265205.02,1360.92,2022-01-04,2023-01-04,14.91,Active
POL-00114,Motor,Central,865693.64,3153.91,2023-01-15,2024-01-15,3032.94,Active
POL-00115,Motor,South,668947.12,3693.58,2022-09-22,2023-09-22,2681.64,Active
POL-00116,Liability,Central,2758347.89,2403.79,2022-12-20,2023-12-20,2331.35,Lapsed
POL-00117,Property,North,13951486.75,3069.67,2023-04-25,2024-04-24,2110.92,Active
POL-00118,Property,South,16675767.68,1103.91,2022-05-15,2023-05-15,408.29,Active
POL-00119,Motor,Central,649227.83,1966.19,2022-02-05,2023-02-05,193.93,Active
POL-00120,Property,South,5585433.69,2589.46,2022-11-14,2023-11-14,2256.02,Active
POL-00121,Motor,West,974632.91,1740.63,2023-02-21,2024-02-21,1497.42,Active
POL-00122,Property,North,16626663.63,1704.28,2023-03-08,2024-03-07,1396.11,Active
POL-00123,Motor,South,1176144.27,1010.99,2022-03-28,2023-03-28,240.98,Active
POL-00124,Motor,Central,1298087.85,1466.72,2022-11-30,2023-11-30,1342.15,Active
POL-00125,Motor,South,770565.35,686.72,2022-05-27,2023-05-27,276.57,Active
POL-00126,Motor,West,1161435.54,2806.12,2022-03-29,2023-03-29,676.54,Active
POL-00127,Motor,Central,1360090.09,3490.21,2023-04-28,2024-04-27,2371.43,Active
POL-00128,Motor,West,1479304.61,1653.68,2022-10-25,2023-10-25,1350.12,Active
POL-00129,Motor,Central,1058597.42,1277.5,2022-10-28,2023-10-28,1053.5,Active
POL-00130,Motor,Central,1387069.28,1288.37,2023-04-20,2024-04-19,903.62,Active
POL-00131,Motor,North,453476.8,1138.35,2022-06-27,2023-06-27,555.14,Active
POL-00132,Liability,West,3751084.71,1659.66,2022-06-06,2023-06-06,713.88,Active
